#103,102;
349,93;349,208;
531,88;533,217;
736,89;735,226;
#519,159;
861,467;874,135;875,811;
870,546;1101,538;
1065,112;1061,818;
#536,163;
868,289;1096,289;
#662,747;
320,576;697,568;697,385;129,378;127,574;
128,575;701,571;694,389;124,384;
128,384;130,575;699,574;696,386;
321,386;129,381;129,576;705,576;704,389;
703,575;704,384;129,382;131,576;
705,384;128,383;128,577;705,574;
192,490;576,490;
#159,1000;
802,997;
805,1085;
929,990;
931,1112;
1053,987;
1056,1101;
#399,1009;
961,1341;831,1257;822,1155;894,1029;1012,1021;1085,1146;1088,1275;959,1340;837,1406;835,1535;887,1651;1015,1668;1094,1530;967,1354;
1088,1151;956,1028;902,1025;833,1150;832,1275;965,1409;1082,1535;1088,1654;1028,1787;908,1780;842,1661;836,1529;896,1360;962,1282;
#739,1975;
107,1960;
104,2003;
104,2056;
101,2113;
1045,1946;
1036,2007;
1038,2058;
1040,2108;
#270,1870;
233,1271;229,1357;125,1361;121,1485;340,1488;340,1277;468,1278;456,1552;130,1548;
631,1779;513,1773;517,1668;641,1665;638,1576;415,1572;414,1804;271,1801;281,1440;638,1436;
#117,1743;
112,1304;
226,1300;
334,1299;
#306,1579;
615,1682;
603,1759;
496,1765;
#286,1336;
547,1254;
634,1260;
630,1363;
#274,1871;
238,1245;232,1365;122,1365;
